Team,Top1_Degree,Top2_Avg_Degree,Top3_Avg_Degree,WinPCT
IND,9791.0,7848.0,6890.666666666667,0.573
TOR,6194.0,6128.5,5490.0,0.305
ATL,9384.0,8138.5,7073.666666666667,0.439
MIN,8330.0,7921.5,6896.0,0.683
MIL,8573.0,8091.0,6737.666666666667,0.598
LAL,7747.0,7503.0,7405.666666666667,0.573
DAL,8468.0,7048.5,6003.0,0.61
PHI,9155.0,6997.5,5923.333333333333,0.573
SAS,7466.0,6449.5,6026.0,0.268
NOP,6593.0,6221.0,6087.333333333333,0.598
WAS,7423.0,6617.5,6120.333333333333,0.183
ORL,8248.0,6971.0,6409.666666666667,0.573
POR,6214.0,5535.5,4882.0,0.256
PHX,7329.0,7252.5,6701.333333333333,0.598
DET,7305.0,6057.0,5459.666666666667,0.171
NYK,10196.0,8210.5,7271.333333333333,0.61
CHI,8339.0,7802.0,7441.333333333333,0.476
OKC,7523.0,6839.0,6566.666666666667,0.695
SAC,10695.0,9562.5,8127.333333333333,0.561
BOS,7229.0,6975.5,6469.666666666667,0.78
CHA,5701.0,5492.5,4984.666666666667,0.256
HOU,9121.0,7827.5,6982.333333333333,0.5
CLE,6725.0,6496.0,6161.333333333333,0.585
DEN,10678.0,8279.5,7372.333333333333,0.695
MIA,5891.0,5500.5,5079.333333333333,0.561
LAC,8339.0,6934.5,6167.0,0.622
GSW,7329.0,6389.5,5875.666666666667,0.561
MEM,4284.0,4029.0,3823.3333333333335,0.329
UTA,6951.0,6319.0,5501.666666666667,0.378
BKN,5946.0,5146.5,4875.666666666667,0.39
