Metric,Champions_Mean,Others_Mean,Difference,Pct_Difference,T_Statistic,P_Value,Cohens_D,Significant
Avg_Degree,3309.9231694231694,2975.9251544541203,333.9980149690491,11.223333841886054,1.4586234926250148,0.14583972614814633,0.5643140031410306,False
Avg_Out_Degree,1654.9615847115847,1487.9625772270601,166.99900748452455,11.223333841886054,1.4586234926250148,0.14583972614814633,0.5643140031410306,False
Avg_In_Degree,1654.9615847115847,1487.9625772270601,166.99900748452455,11.223333841886054,1.4586234926250148,0.14583972614814633,0.5643140031410306,False
Max_Out_Degree,3845.222222222222,3442.9655172413795,402.25670498084264,11.68343693732792,1.3736628179747676,0.1706943160379223,0.5073301865063868,False
Density,0.9787601287601286,0.9522489305779935,0.0265111981821351,2.7840617438177016,1.2143918700797833,0.2256670783300631,0.42171245309650274,False
Std_Degree,2234.7933187629155,2045.350170454624,189.44314830829148,9.262137654706997,1.114268303551166,0.26616238314179885,0.4656685937873623,False
Betweenness_Range,0.5571107904441238,0.5013284399994392,0.0557823504446846,11.126907231663738,1.0206224352761817,0.30835378260493,0.3080798097579398,False
Avg_Betweenness,0.09970615803949137,0.10625584475269538,-0.006549686713204009,-6.164071942064028,-1.0174105226916559,0.30987576670678724,-0.351492482184678,False
Max_Betweenness,0.6568169484836152,0.6075842847521347,0.0492326637314805,8.103017962613215,0.8901216317982354,0.37419891878909173,0.2634499316187419,False
Min_Degree,656.5555555555555,539.6053639846743,116.9501915708812,21.673281879051665,0.8868346427810446,0.3759630538873181,0.24540176996267943,False
Degree_Centralization,0.05682540695943959,0.07179438852763351,-0.014968981568193915,-20.849793243147946,-0.7768089364602733,0.43795658604699017,-0.2665163630250919,False
Eigenvector_Range,0.2790027847321893,0.29588636913730654,-0.016883584405117225,-5.706104155572767,-0.7715911921366961,0.4410363880430266,-0.2893344124409787,False
Max_Degree,7752.111111111111,7286.509578544062,465.6015325670496,6.389911761566404,0.7666134196359473,0.4439861435016865,0.30957918493415754,False
Star_Weighted_Degree,7752.111111111111,7286.509578544062,465.6015325670496,6.389911761566404,0.7666134196359473,0.4439861435016865,0.30957918493415754,False
Avg_Eigenvector,0.23905538970151083,0.23339572374093098,0.005659665960579846,2.4249227320300304,0.7321493911248396,0.46471716857825063,0.25821526245479887,False
Std_Betweenness,0.20081461581060697,0.19050411335700293,0.010310502453604042,5.412220383022522,0.7053021297441989,0.48123478800734876,0.20246895176356824,False
Top2_Concentration,0.3481894693799296,0.3386800715421205,0.00950939783780913,2.807781926615803,0.6179706875562927,0.5371194415696137,0.2149551585878105,False
Max_Eigenvector,0.5180581744337001,0.5292820928782376,-0.011223918444537517,-2.120592892818613,-0.6046995816315056,0.5458902457179238,-0.21997485070057746,False
Degree_Range,7095.555555555556,6746.904214559387,348.651340996169,5.167575081973178,0.5953747445178157,0.5520954121757488,0.2414391781012747,False
Std_Eigenvector,0.16024046511788817,0.15805898597305051,0.002181479144837656,1.3801677464953521,0.3122864808869906,0.7550656508881913,0.10267709125504426,False
Max_In_Degree,3999.3333333333335,3910.616858237548,88.71647509578543,2.268605652556014,0.2671322248854842,0.7895728024514117,0.10586506771711711,False
Degree_CV,0.6871663009205486,0.6932352057180488,-0.006068904797500108,-0.875446709492195,-0.14794625066326972,0.8824964352533742,-0.048616315675773666,False
Top1_Pct,0.19173356836820593,0.1924093295775579,-0.0006757612093519771,-0.3512102094194896,-0.05826942028237426,0.9535774478856522,-0.02032963134978262,False
Gini_Coefficient,0.3583669585333036,0.35894609248665227,-0.0005791339533486872,-0.1613428772372617,-0.029081171932065733,0.976821496042479,-0.009101052840901016,False
