PLAYER_NAME,TEAM_ABBREVIATION,SEASON,Weighted_Degree,PTS,AST,Is_AllStar,Distance
Deron Williams,DAL,2015-16,9588,918,378,True,1.8295303855616056
Malcolm Brogdon,IND,2020-21,7150,1186,329,True,1.92349023248229
Dennis Schröder,LAL,2020-21,7691,941,351,True,2.0115017491708107
LeBron James,LAL,2020-21,5692,1126,350,True,2.1231611656731895
Derrick Rose,NYK,2016-17,7656,1154,283,True,2.1387038715231803
Ben Simmons,PHI,2020-21,7380,829,401,True,2.1532231238550983
Jamal Murray,DEN,2019-20,6980,1091,284,False,2.167953037259603
Derrick Rose,CHI,2015-16,7833,1080,311,True,2.1815251107762093
Brandon Knight,PHX,2015-16,6207,1018,263,True,2.192095520209752
Ben Simmons,PHI,2019-20,7558,937,455,True,2.196004821346207
