PLAYER_NAME,TEAM_ABBREVIATION,SEASON,Weighted_Degree,In_Out_Ratio,Degree_Per_Game,Eigenvector_Centrality,Is_Network_Star,Distance
James Harden,PHI,2022-23,8499,1.127659574468085,144.05084745762713,0.5266750622774627,True,1.504487157506895
Tyrese Haliburton,IND,2022-23,8167,1.0626262626262626,143.28070175438597,0.5119972049128566,True,1.7246015697668293
Deron Williams,DAL,2015-16,9588,1.0900174367916304,145.27272727272728,0.5064307744225992,True,1.7673795020314307
Chris Paul,LAC,2016-17,8342,1.10841546626232,134.5483870967742,0.5560013603220582,True,1.8275898247407512
Fred VanVleet,TOR,2021-22,8538,1.129426433915212,129.36363636363637,0.5348012766064252,True,1.9769989326598998
Devonte' Graham,CHA,2019-20,8350,1.2145319543887563,130.46875,0.5483872035728534,True,1.983664823936207
Russell Westbrook,WAS,2020-21,8485,1.1450960566228514,128.56060606060606,0.6025648690957196,True,1.9904237251606236
Malcolm Brogdon,IND,2020-21,7150,1.195578753454099,125.43859649122807,0.5404948811634971,True,2.0303786104603323
Luka Dončić,DAL,2019-20,7730,1.1475,124.6774193548387,0.5407167337227091,True,2.0638534921571474
Dennis Schröder,LAL,2020-21,7691,1.1728813559322033,124.04838709677419,0.5101403172979293,True,2.075299419431267
Mike Conley,MEM,2016-17,9152,1.190761129727142,130.74285714285713,0.544097160221571,True,2.085081638343872
Fred VanVleet,TOR,2022-23,8971,1.1145415979259958,128.15714285714284,0.5433261214148671,True,2.090594721114649
LeBron James,LAL,2019-20,8763,1.212572582681141,128.86764705882354,0.5886595596353048,True,2.1118817873027083
Goran Dragic,MIA,2015-16,9506,1.110790408525755,130.21917808219177,0.5949190406249414,True,2.1297136740374043
Jalen Brunson,NYK,2022-23,8680,1.2151058943608064,125.79710144927536,0.5501507309125022,True,2.194113078262131
