Team,Nodes,Edges,Max_K_Core,Main_Core_Size,Avg_Coreness,K2_Core_Size,K3_Core_Size,K4_Core_Size,Win_Pct
MIL,17,98,10,13,9.0,17,17,16,0.419
DEN,16,100,11,13,10.375,16,16,16,0.659
HOU,14,80,10,12,9.714285714285714,14,14,14,0.634
IND,24,191,13,15,11.833333333333334,24,24,24,0.222
OKC,16,113,12,15,11.9375,16,16,16,0.822
UTA,16,101,12,13,11.1875,16,16,16,0.341
PHI,17,114,12,13,11.294117647058824,17,17,17,0.548
GSW,18,121,14,15,12.555555555555555,17,17,17,0.556
WAS,18,120,11,15,10.333333333333334,18,18,18,0.238
MIA,17,94,11,13,9.411764705882353,15,15,15,0.523
BOS,15,86,10,13,9.466666666666667,15,15,15,0.628
ORL,16,102,12,14,11.3125,16,16,16,0.548
DAL,17,116,11,15,10.764705882352942,17,17,17,0.409
MIN,15,75,9,11,8.0,15,15,14,0.614
ATL,18,102,10,14,8.777777777777779,18,17,17,0.457
DET,19,109,11,14,9.263157894736842,17,17,17,0.762
LAL,19,123,12,14,10.631578947368421,19,18,17,0.619
CHI,20,114,12,14,9.6,17,17,16,0.488
LAC,19,124,13,14,11.31578947368421,19,19,18,0.442
TOR,18,106,10,13,8.944444444444445,18,17,17,0.587
CHA,19,137,11,15,10.68421052631579,19,19,19,0.364
NOP,18,112,13,14,11.277777777777779,17,17,17,0.217
POR,16,99,10,14,9.6875,16,16,16,0.5
MEM,19,122,11,13,9.894736842105264,19,19,19,0.429
BKN,17,105,12,14,10.823529411764707,16,16,16,0.286
PHX,17,104,10,14,9.411764705882353,17,16,16,0.614
CLE,16,105,12,13,11.4375,16,16,16,0.556
SAS,17,96,10,11,8.882352941176471,16,16,16,0.682
SAC,18,107,11,13,9.666666666666666,17,17,17,0.267
NYK,17,96,10,12,8.882352941176471,16,16,16,0.591
